no,head,pno,cate,from,prize,hm,etc,url,churl,prizetxt,chtxt,img,chimg,primg,main,sub
11,p,p11,,GAORA　SPORTS,GARMIN FOREATHLETE55（ホワイト）,2,,https://www.gaora.co.jp/,確認中,ForeAthlete 55はトレーニングのガイド機能とランニング機能を備えたフィットネスの目標達成を手助けしてくれるGPSランニングウォッチです。,プロ野球（阪神・北海道日本ハム）・テニス・プロレス・格闘技・モータースポーツ・バレーボール・ゴルフなど、国内外の人気スポーツを徹底放送！,009.jpg,ch009.png,pr009.png,,
12,p,p12,,GAORA　SPORTS,GARMIN FOREATHLETE55（グレー）,2,,https://www.gaora.co.jp/,確認中,ForeAthlete 55はトレーニングのガイド機能とランニング機能を備えたフィットネスの目標達成を手助けしてくれるGPSランニングウォッチです。,プロ野球（阪神・北海道日本ハム）・テニス・プロレス・格闘技・モータースポーツ・バレーボール・ゴルフなど、国内外の人気スポーツを徹底放送！,009.jpg,ch009.png,pr009.png,,
13,p,p13,,日テレG+,ジャイアンツ防災グッズ 防災セットリュック,5,,https://www.gtasu.com/,確認中,ジャイアンツ防災セットリュック！本商品は、防災用品のトップブランド「LA・PITA」による、防災安全協会が「防災推奨品」に認定し、危機管理のプロの防災士と共同開発された防災リュックにGIANTSのロゴがデザインされたオリジナルモデルです！,"日テレジータスは、プロ野球・ジャイアンツを主軸としたスポーツ専門チャンネルです。
日テレジータスは、CS日本が提供するCS放送サービスの1つ。スポーツ専門チャンネルとしてプロ野球・ジャイアンツや、モータースポーツ、ゴルフ、プロレス、NFL、ボクシング、サッカー、陸上などあらゆるスポーツの競技や関連コンテンツを視聴契約者のみなさまにお届けしています。",10.jpg,ch010.png,pr010.png,,
14,p,p14,,日テレG+,ジャイアンツ防災グッズ ピロー＆腰用クッションセット,8,,https://www.gtasu.com/,確認中,野球用具専門メーカー、ワールドペガサスとコラボしたピローと、もたれるだけで腰が安定する機能性ビーズクッション GIANTS 腰用クッション CuCu スリムのセットです。,"日テレジータスは、プロ野球・ジャイアンツを主軸としたスポーツ専門チャンネルです。
日テレジータスは、CS日本が提供するCS放送サービスの1つ。スポーツ専門チャンネルとしてプロ野球・ジャイアンツや、モータースポーツ、ゴルフ、プロレス、NFL、ボクシング、サッカー、陸上などあらゆるスポーツの競技や関連コンテンツを視聴契約者のみなさまにお届けしています。",10.jpg,ch010.png,pr010.png,,
15,p,p15,,ショップチャンネル,柳宗理　南部鉄器　鉄鍋深型鉄器フタ＆ハンドル付,1,,https://www.shopch.jp,https://www.shopch.jp/CommonViewTypeAInit.do?incPath=/sp/be21ant.html,"【柳宗理 南部鉄器　鉄鍋深型 鉄器フタ＆ハンドル付】
日本の工業デザイナーの第一人者であり世界各国のデザイナーから尊敬されている柳宗理（やなぎ　そうり）デザインの南部鉄器シリーズより、幅広い料理に活躍する深型の鉄鍋です。
熱が均一に伝わり、熱をたくさん保有するよう底板を厚くしている構造で、蓄熱効果や保温性に優れています。ガスやＩＨ調理器（２００Ｖ）を使用しての煮たり焼いたりなどの料理に加え、フタをしたままオーブン調理が可能。","24時間365日放送中のショッピング専門チャンネルのショップチャンネルでは、
11月のまる１ヶ月間、開局25周年を祝う「心おどる、大創業祭」を開催します。
これまでの25年間のご愛顧に感謝して、大創業祭に相応しいビッグイベントが盛りだくさん。特にオープニングを飾る11/1・2は、選りすぐりのお買い得アイテムたちと出会えるスペシャルな2日間。その後もビューティーやジュエリー、ファッション、グルメなどをそれぞれまる１日特集する番組や、ロングセラーアイテムにクローズアップする特別番組など、11月のショップチャンネルは見逃せない番組が目白押しです。 ",11.jpg,ch011.png,pr011.png,,
16,p,p16,,アジアドラマチックTV,Vitanonioマイボトルブレンダー（VBLｰ31ｰOL）,3,,https://www.asiadramatictv.com/,https://www.asiadramatictv.com/lineup/SO0000010584/,"Vitantonio マイボトルブレンダー[VBL-31-OL]

使いやすさとボトルの耐久性にこだわった、お手軽サイズのマイボトルブレンダー。つくったボトルでそのまま飲めるから、準備も片付けもかんたんスピーディ。
忙しい毎日でも、スムージー生活がおいしくつづけられます。",「アジアドラマチックTV（アジドラ）」は、韓流・華流のドラマや映画を中心にアジア各国から厳選！ノーカット、途中CMなし、字幕放送で放送しているチャンネルです。さらに今アジア各地で密かなブームとなっているBL(ボーイズラブ)作品も放送しています！！,12.jpg,ch012.png,pr012.png,,
17,p,p17,,テレ朝チャンネル1.2,ドラえもん野球盤とドラえもんグッズ詰め合わせ,2,※賞品画像はイメージです。　©藤子プロ・小学館・テレビ朝日・シンエイ・ＡＤＫ,https://www.tv-asahi.co.jp/ch/,確認中,ご家族皆さんで楽しめるドラえもん野球盤と、人気のドラえもんグッズを詰め合わせてプレゼント。,"テレ朝チャンネル１では、人気のドラマ・アニメ・音楽ライブやバラエティなどが盛りだくさん。「ドラえもん」は月曜から日曜まで毎日放送。
テレ朝チャンネル２は、フィギュアスケート、サッカー、新日本プロレス、水泳、バドミントン、などスポーツ盛りだくさん！さらに、名作アニメ、ドラマ、サスペンスも放送中！",13.jpg,ch013.png,pr013.png,,
18,p,p18,,キッズステーション,ポケモンぬいぐるみ　ピカチュウ,2,©Nintendo・Creatures・GAME FREAK・TV Tokyo・ShoPro・JR Kikaku ©Pokémon,https://www.kids-station.com/,https://www.kids-station.com/programs/KS11001797,「ポケモンぬいぐるみ　ピカチュウ」,アンパンマン、ポケモン、妖怪ウォッチのアニメを毎日放送！　大人も楽しめる人気アニメも充実のラインアップ。“こども・アニメ専門チャンネル”キッズステーション！,14.jpg,ch014.png,pr014.png,,
19,p,p19,,カートゥーンネットワーク,「トムとジェリー」ハンドパペット,3,,https://www.cartoonnetwork.jp/,https://www.cartoonnetwork.jp/cn_programs/view/01114,"ご年配の方から小さなお子様まで、みんなが大好き！そんな「トムとジェリー」のハンドパペットです。もふもふのトムとジェリーを可愛く動かしてみませんか。
■サイズ：高さ約24ｃｍ",世界のアニメがここにいる！永遠の名作から最新作まで国内外のアニメを放送中。カートゥーン ネットワークでは、「トムとジェリー」や「きかんしゃトーマス」をはじめ、オリジナル制作の「パワーパフ ガールズ」「アドベンチャー・タイム」「おかしなガムボール」など、世界中から優良な番組をお届けしています。,15.jpg,ch015.png,pr015.png,,
20,p,p20,,歌謡ポップスチャンネル,CASIOミニキーボード（SA-46),2,,https://www.kayopops.jp/,https://www.kayopops.jp/ichibanboshi/,"本物の楽器からサンプリングした100音色、多彩な音楽ジャンルの50パターンを内蔵。
ピッチ調整が可能なチューニング機能も搭載しており、音取りにも最適。
コンパクトながら高性能な32鍵ミニキーボード。",聴きたい歌が ここにある。歌謡曲、アイドル、J-POPなどさまざまなジャンルの名曲をお届け。演歌・歌謡曲の最新情報や、過去の貴重な映像から最新コンサートまで見逃せない番組が豊富にラインナップ！日本で唯一の歌謡曲専門チャンネルです。,16.jpg,ch016.png,pr016.png,,
21,p,p21,,ディスカバリーチャンネル,ボディバッグ,1,,,,"ディスカバリーチャンネル　ボディバッグ
ディスカバリーのアパレルブランド「Discovery EXPEDITION（ディスカバリーエクスペディション）」のボディバッグ。国内未発売のレアアイテムです。",ディスカバリーチャンネル は世界中の人々の情熱を引き出し、好奇心を満たす上質な体験を提供。220以上の国・地域に配信する世界最大級のネットワークを駆使し、宇宙、クルマ、サバイバルなど、多岐に渡る情報を新しい発見とともにお届けします。,17.jpg,ch017.png,pr017.png,,
22,p,p22,,Ｖ☆パラダイス,LOGOS ポップフルシェルター,1,※賞品画像はイメージです。　,https://www.vpara.com/,https://www.vpara.com/information/oniyakko_rg_Song,組立不要！キャリーバッグから取り出して、ポンと放り投げればパッと開いて完成！キャンプにビーチに公園にと大活躍のシェルター。外から見えないフルクローズ仕様なので、中で着替えができて日差し対策にもなる優れものです。,任侠、セクシー、ジャンル多彩なVシネから、あの人気女優が出演したお宝映画、麻雀、パチンコ、スロットの実践番組、旬な作品がどこよりも豊富なグラビア、興奮間違いなしのバラエティまで豪華なラインナップを放送中。“大人の観たい”がここにある。,18.jpg,ch018.png,pr018.png,,
23,p,p23,WEB限定,アニマルプラネット,Colemanサンシェード,1,,,,"アニマルプラネット　Colemanサンシェード
人気のColeman社のサンシェード、密を避けてプライバシーも確保。おうちの中でも、ちょっとしたお出かけのおともにどうぞ。",アニマルプラネットは世界最大級の動物チャンネルです。弱肉強食の世界から大自然の営み、動物と人々の関わり、犬・猫などのペットまで豊富なラインナップにより、動物への好奇心を育み、感動を伝え続けます。,19.jpg,ch019.png,pr019.png,,
24,p,p24,WEB限定,ムービープラス,折り畳みラウンジチェア,1,,https://www.movieplus.jp/,https://www.movieplus.jp/,折り畳みラウンジチェア,日本最大級の映画専門チャンネル。ハリウッドのアクションやSFなど”ナンバーワン”級ヒット作から世界の傑作、貴重吹替や副音声などここでしか観られない”オンリーワン”な番組を放送！,20.jpg,ch020.png,pr020.png,,
25,p,p25,WEB限定,J SPORTS,PACIFIC（パシフィック）　リュック（ネイビー）,1,,https://www.jsports.co.jp/,https://www.jsports.co.jp/motor/wrc/,"パシフィック（PACIFIC） リュック(ネイビー)
幅36×奥行15×高さ45cmと小型ながら容量36Lとたっぷり入り、レジャーシーンで大活躍するリュック。男性はもちろん、女性、キッズにもおススメ。","国内最大4チャンネルのスポーツ専門チャンネルJ SPORTS
プロ野球、MLB、サッカー、GT、WRC、ラグビー、WWE、サイクル、フィギュア、スキー、卓球、バドミントン、Bリーグ、高校バスケなどの中継の他、情報番組やドキュメンタリーも充実",21.jpg,ch021.png,pr021.png,,
26,p,p26,WEB限定,女性チャンネル♪LaLaTV,ワッフルボウルメーカー,1,,https://www.lala.tv/,https://www.lala.tv/,ワッフルボウルメーカー,LaLa TVは、好奇心を持ち続けるエイジレスな女性たちに向けたエンタテインメント・メディアです。世界の最新・名作ドラマから、食・旅・音楽、こだわりのライフスタイルまで、さまざまなコンテンツをお届けし、暮らしを豊かに彩ります。,22.jpg,ch022.png,pr022.png,,
27,p,p27,WEB限定,時代劇専門チャンネル,若トートバッグ＆ボトルバッグセット,1,,https://www.jidaigeki.com/,https://www.jidaigeki.com/,時代劇専門チャンネルの公式キャラ・若の2種類のバッグをセットで。若、町娘、忍者の愉快なイラストが楽しいトートバッグは、頑丈な素材でマチもたっぷり。中瓶、ワインボトルから一升瓶までお酒のボトルがすっぽり入るボトルバッグは、お酒と若のシンプルなイラストがとってもかわいい。,365日時代劇を放送！11月のオススメは薬師丸ひろ子・真田広之出演の映画「里見八犬伝＜4Kデジタル修復版＞」、生誕９０年 カツライス劇場より市川雷蔵主演の映画｢眠狂四郎勝負｣、勝新太郎主演　映画｢座頭市(1989)勝新太郎ディレクターズカット｣＜4Kデジタルリマスター版＞です。「鬼平犯科帳」「剣客商売」「暴れん坊将軍」も絶賛放送中！,23.jpg,ch023.png,pr023.png,,
28,p,p28,WEB限定,チャンネル銀河,衣類スチーマー,1,,https://www.ch-ginga.jp/,https://www.ch-ginga.jp/,衣類スチーマー,日本初の世界の歴史ドラマ、本格サスペンス、豪華歌謡番組など大人世代の番組が満載,24.jpg,ch024.png,pr024.png,,
29,p,p29,WEB限定,MUSIC　ON! TV（エムオン！）,SONY　ワイヤレスポータブルスピーカー（SRS-XB01(ｂ））,3,,https://www.m-on.jp/,https://www.m-on.jp/program/detail/mon-special-befirst-2109/,"ソニー ワイヤレスポータブルスピーカー[SRS-XB01(B)]

直径約37.5mm口径のフルレンジスピーカーユニットを搭載。迫力の重低音を再生します。また、ラウンド形状を採用することでボディ内部の余計な共振を防ぎ、よりクリアな音を楽しめます。","MUSIC ON! TV（エムオン!）は、ライブコンテンツやアーティスト特番が充実！
J-POPやK-POP、アイドル、アニソンなど、さまざまなジャンルを網羅。
「みんなの見たい・知りたい」を、満足させる幅広い番組を絶賛放送中！",25.jpg,ch025.png,pr025.png,,
30,p,p30,WEB限定,アニマックス,僕のヒーローアカデミア マグカップ（３班×2個）,2,(C) 堀越耕平/集英社・僕のヒーローアカデミア製作委員会,https://www.animax.co.jp/,確認中,僕のヒーローアカデミア マグカップ（３班×2個）,アニマックスは「機動戦士ガンダム」、「ルパン三世(PartⅡ)」など不朽の名作から、「名探偵コナン」、「プリキュア」シリーズなど最新のヒットアニメなど大人から子どもまでお楽しみいただける人気テレビアニメ、劇場版・長編作品・OVAを24時間365日放送！,26.jpg,ch026.png,pr026.png,,
31,p,p31,WEB限定,アニマックス,僕のヒーローアカデミア マグカップ（5班×２個）,2,(C) 堀越耕平/集英社・僕のヒーローアカデミア製作委員会,https://www.animax.co.jp/,確認中,僕のヒーローアカデミア マグカップ（5班×２個）,アニマックスは「機動戦士ガンダム」、「ルパン三世(PartⅡ)」など不朽の名作から、「名探偵コナン」、「プリキュア」シリーズなど最新のヒットアニメなど大人から子どもまでお楽しみいただける人気テレビアニメ、劇場版・長編作品・OVAを24時間365日放送！,26.jpg,ch026.png,pr026.png,,
32,p,p32,WEB限定,スーパー！ドラマTV,「メンタリスト」Tシャツ（M）,4,,https://www.superdramatv.com/,https://www.superdramatv.com/lineup/SNN000004081.html,「メンタリスト」オリジナル レッド・ジョンTシャツ(Mサイズ)です。,いま話題の最新ドラマをどこよりも早く日本初放送！最新作の「MANIFEST／マニフェスト」や「Ｓ．Ｗ．Ａ．Ｔ．」、「クリミナル・マインド」など話題作、大ヒット作が満載！平日夜１０時には「スパドラ！２２」としてイチオシドラマ枠を編成。また、他では見られない特別番組や一挙放送企画なども充実！とことん「海外ドラマ」にこだわる日本最大の海外ドラマ専門チャンネル。,27.jpg,ch027.png,pr027.png,,
33,p,p33,WEB限定,MTV,MTVロゴ入りヘッドフォン,2,,,確認中,"MTVロゴ入りPioneerヘッドフォン
SE-MJ722T-K
●豊かで迫力のある重低音再生
●大口径40mmドライバーとPowerful Bass Duct搭載で迫力ある低音再生を実現しています。
●アウトドアに最適な高い遮音性
●折りたたみでコンパクト
●スマートフォンでの通話が可能",世界最大級のユース向け音楽＆エンターテインメント専門チャンネル。,28.jpg,ch028.png,pr028.png,,
34,p,p34,WEB限定,映画・チャンネルNECO,充電式クリーナー,1,,https://www.necoweb.com/neco/,https://www.necoweb.com/neco/,"重量1.1kgという軽量コンパクトなコードレスタイプのスティック型クリーナー。
紙パック式により、集めたゴミはワンタッチで手を汚さずに捨てることができます。
「パワフルモード」で使い回し可能なマキタ共通バッテリー搭載で急速充電対応","日本映画の最新ヒット作から名作、掘り出し作品までたっぷりとお届け。
ドラマやアニメ、バラエティも充実した""テレビ好きの大人を満たす""エンターテイメントチャンネル。",29.jpg,ch029.png,pr029.png,,
35,p,p35,WEB限定,釣りビジョン,オリジナルライフジャケット＆防水バッグ,1,,https://www.fishing-v.jp/,確認中,"オリジナルライフジャケット＆防水バッグ
釣行時はもちろん、水辺のレジャーなど様々な用途に対応するベーシックタイプです。防災グッズとしても役立ちます。",確認中,30.jpg,ch030.png,pr030.png,,
